id,area,match,key,context,en,zh,status,notes
ui__9f21e099adf3,ui_keys,key,Key_2Players,Key_2Players,2 Players,2 名玩家,draft,
ui__7325b06d2598,ui_keys,key,Key_2_Players,Key_2_Players,2 Players:,2 名玩家：,draft,
ui__ca71f82c29cf,ui_keys,key,Key_3Players,Key_3Players,3 Players,3 名玩家,draft,
ui__252130e988ef,ui_keys,key,Key_3_Players,Key_3_Players,3 Players:,3 名玩家：,draft,
ui__533367942bcf,ui_keys,key,Key_4Players,Key_4Players,4 Players,4 名玩家,draft,
ui__9f9777c55cd6,ui_keys,key,Key_4_Players,Key_4_Players,4 Players:,4 名玩家：,draft,
ui__d61530a6acbf,ui_keys,key,Key_AIDifficulty,Key_AIDifficulty,AI Difficulty,电脑难度,draft,pass14
ui__23719258237e,ui_keys,key,Key_AIOpponent,Key_AIOpponent,AI Opponent,电脑对手,draft,pass14
ui__85b7a8403934,ui_keys,key,Key_AIPlayer,Key_AIPlayer,AI Player,电脑玩家,draft,pass14
ui__738db23fd613,ui_keys,key,Key_AIPlayer1,Key_AIPlayer1,AI Player 1,AI 玩家 1,draft,
ui__036276506ebf,ui_keys,key,Key_AIPlayer2,Key_AIPlayer2,AI Player 2,AI 玩家 2,draft,
ui__1b9ddd3f8d72,ui_keys,key,Key_AIPlayer3,Key_AIPlayer3,AI Player 3,AI 玩家 3,draft,
ui__e1d8aa44a71d,ui_keys,key,Key_AIPlayer4,Key_AIPlayer4,AI Player 4,AI 玩家 4,draft,
ui__013de8a0bd4b,ui_keys,key,Key_Abbr_Hour,Key_Abbr_Hour,HR,时,draft,
ui__0c7c49b6a1db,ui_keys,key,Key_Abbr_Hours,Key_Abbr_Hours,Hrs,时,draft,
ui__bf8158c295ed,ui_keys,key,Key_Abbr_Minute,Key_Abbr_Minute,Min,分,draft,
ui__6abdbb728ac5,ui_keys,key,Key_Abbr_Second,Key_Abbr_Second,Sec,秒,draft,
ui__69987fa7f439,ui_keys,key,Key_Accept,Key_Accept,Accept,接受,draft,
ui__e264edfb9b4d,ui_keys,key,Key_AcceptInvite,Key_AcceptInvite,Accept Invite,接受邀请,draft,
ui__f3cbbf7e9f6a,ui_keys,key,Key_AccountCreateFailed,Key_AccountCreateFailed,Account creation failed.,账号创建失败。,draft,
ui__2dfd8e7ab9a6,ui_keys,key,Key_AccountCreateSuccess,Key_AccountCreateSuccess,Account Created.<br>Enter your Password to Login.,账号已创建。<br>请输入密码登录。,draft,
ui__236dd56169a2,ui_keys,key,Key_AccountError,Key_AccountError,Account error.,账号出错。,draft,
ui__b20680dd424b,ui_keys,key,Key_AccountNotActivatedEmail,Key_AccountNotActivatedEmail,Account is not yet activated. Please follow the account activation instructions that were sent to your e-mail.,账号尚未激活。请按发送到你邮箱的说明完成激活。,draft,
ui__bc01476d28e7,ui_keys,key,Key_Achievements,Key_Achievements,Achievements,成就,draft,
ui__19eaafc57768,ui_keys,key,Key_AddComputerPlayer,Key_AddComputerPlayer,Add Computer Player,添加电脑对手,draft,pass14
ui__4b81d18fab47,ui_keys,key,Key_AddFriend,Key_AddFriend,Add Friend,添加好友,draft,
